,Indicator,Continent,Country,Year,Gender,Cause,Average_death_Value
685,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Female,Ischaemic heart disease,11.049999999999999
689,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Both sexes,Lower respiratory infections,11.5
690,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Male,Lower respiratory infections,11.376666666666665
695,Ambient air pollution attributable death rate (per 100 000 population),Africa,Liberia,2016,Female,Lower respiratory infections,11.579999999999998
699,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Female,Ischaemic heart disease,11.25
703,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Male,Ischaemic heart disease,11.283333333333333
708,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Both sexes,Ischaemic heart disease,11.33
710,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Both sexes,Ischaemic heart disease,11.306666666666667
714,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Female,Lower respiratory infections,11.533333333333333
716,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Male,Ischaemic heart disease,11.4
719,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sao Tome and Principe,2016,Female,Lower respiratory infections,11.593333333333334
720,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Female,Ischaemic heart disease,11.463333333333333
721,Ambient air pollution attributable death rate (per 100 000 population),Africa,Chad,2016,Both sexes,Ischaemic heart disease,11.479999999999999
725,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Both sexes,Lower respiratory infections,11.813333333333333
730,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Female,Lower respiratory infections,11.726666666666667
734,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eswatini,2016,Male,Lower respiratory infections,12.030000000000001
738,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Female,Ischaemic heart disease,11.71
739,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Female,Lower respiratory infections,12.013333333333334
742,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Female,Lower respiratory infections,11.866666666666665
744,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Both sexes,Ischaemic heart disease,11.773333333333333
748,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sao Tome and Principe,2016,Both sexes,Lower respiratory infections,11.983333333333334
751,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Female,Stroke,12.200000000000001
752,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Female,Lower respiratory infections,11.956666666666665
753,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Male,Stroke,11.996666666666664
764,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Male,Ischaemic heart disease,12.033333333333333
767,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Male,Ischaemic heart disease,12.089999999999998
768,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Both sexes,Lower respiratory infections,12.423333333333332
771,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Both sexes,Lower respiratory infections,12.339999999999998
772,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Male,Ischaemic heart disease,12.219999999999999
774,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sao Tome and Principe,2016,Male,Lower respiratory infections,12.37
778,Ambient air pollution attributable death rate (per 100 000 population),Africa,Central African Republic,2016,Male,Ischaemic heart disease,12.329999999999998
783,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Male,Ischaemic heart disease,12.49
785,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Both sexes,Stroke,12.536666666666667
786,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Female,Lower respiratory infections,12.593333333333334
789,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Both sexes,Ischaemic heart disease,12.456666666666669
790,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Both sexes,Ischaemic heart disease,12.430000000000001
791,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cameroon,2016,Male,Ischaemic heart disease,12.486666666666666
792,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Female,Stroke,12.673333333333334
795,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Male,Lower respiratory infections,12.856666666666664
798,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Both sexes,Lower respiratory infections,12.65
800,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Both sexes,Ischaemic heart disease,12.636666666666665
802,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Female,Ischaemic heart disease,12.583333333333334
805,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Both sexes,Ischaemic heart disease,12.746666666666668
806,Ambient air pollution attributable death rate (per 100 000 population),Africa,Chad,2016,Male,Ischaemic heart disease,12.806666666666665
807,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Female,Ischaemic heart disease,12.793333333333331
812,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Female,Ischaemic heart disease,12.796666666666667
818,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Female,Ischaemic heart disease,12.946666666666667
819,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Female,Stroke,13.089999999999998
824,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Both sexes,Lower respiratory infections,13.106666666666667
825,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Male,Lower respiratory infections,13.193333333333333
826,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Both sexes,Lower respiratory infections,13.226666666666667
830,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Both sexes,Ischaemic heart disease,13.133333333333333
838,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Male,Lower respiratory infections,13.373333333333335
851,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Female,Ischaemic heart disease,13.516666666666666
855,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Both sexes,Lower respiratory infections,13.766666666666666
859,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Female,Lower respiratory infections,13.959999999999999
863,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sudan,2016,Male,Lower respiratory infections,13.786666666666667
864,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Male,Lower respiratory infections,13.873333333333335
866,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Both sexes,Ischaemic heart disease,13.75
868,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Male,Ischaemic heart disease,13.836666666666666
871,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Female,Ischaemic heart disease,13.86
873,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Male,Ischaemic heart disease,13.913333333333332
878,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Male,Ischaemic heart disease,14.0
879,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Female,Ischaemic heart disease,14.026666666666666
883,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Female,Lower respiratory infections,14.303333333333333
886,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Female,Total,14.246666666666664
887,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Male,Lower respiratory infections,14.603333333333333
888,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Male,Lower respiratory infections,14.356666666666667
898,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Both sexes,Lower respiratory infections,14.89
899,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Female,Lower respiratory infections,14.593333333333334
900,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Both sexes,Lower respiratory infections,14.726666666666667
902,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Female,Lower respiratory infections,14.686666666666667
909,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Both sexes,Total,14.756666666666666
919,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sudan,2016,Both sexes,Lower respiratory infections,15.020000000000001
921,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Male,Lower respiratory infections,15.163333333333334
924,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Female,Lower respiratory infections,15.189999999999998
925,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Both sexes,Ischaemic heart disease,15.006666666666666
926,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Female,Lower respiratory infections,15.146666666666667
928,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Female,Lower respiratory infections,15.196666666666667
929,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Both sexes,Lower respiratory infections,15.316666666666668
930,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Male,Total,15.299999999999999
934,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Male,Ischaemic heart disease,15.376666666666665
935,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Male,Lower respiratory infections,15.483333333333334
940,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Male,Lower respiratory infections,15.81
946,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Both sexes,Lower respiratory infections,15.64
947,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Both sexes,Lower respiratory infections,15.706666666666669
949,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Male,Lower respiratory infections,15.876666666666665
960,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Male,Lower respiratory infections,16.19
962,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sudan,2016,Female,Lower respiratory infections,16.253333333333334
963,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Female,Ischaemic heart disease,16.203333333333333
967,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Both sexes,Lower respiratory infections,16.5
968,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Female,Total,16.503333333333334
974,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Male,Lower respiratory infections,16.72
976,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Male,Ischaemic heart disease,16.7
979,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Female,Lower respiratory infections,16.936666666666667
994,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Both sexes,Total,17.470000000000002
998,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Male,Ischaemic heart disease,17.37
1000,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Both sexes,Ischaemic heart disease,17.546666666666667
1015,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Female,Ischaemic heart disease,17.986666666666668
1022,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Male,Lower respiratory infections,18.316666666666666
1027,Ambient air pollution attributable death rate (per 100 000 population),Africa,Cabo Verde,2016,Female,Ischaemic heart disease,18.349999999999998
1030,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Male,Total,18.486666666666668
1036,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Female,Lower respiratory infections,18.583333333333332
1042,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Female,Lower respiratory infections,18.64
1049,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Female,Lower respiratory infections,18.766666666666666
1055,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Female,Lower respiratory infections,18.953333333333333
1066,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Both sexes,Lower respiratory infections,19.146666666666665
1068,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Both sexes,Ischaemic heart disease,18.959999999999997
1070,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Female,Lower respiratory infections,19.256666666666664
1072,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Both sexes,Lower respiratory infections,19.263333333333332
1073,Ambient air pollution attributable death rate (per 100 000 population),Africa,Angola,2016,Male,Lower respiratory infections,19.263333333333332
1074,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Both sexes,Lower respiratory infections,19.319999999999997
1075,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Both sexes,Lower respiratory infections,19.283333333333335
1080,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Both sexes,Ischaemic heart disease,19.18
1081,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Female,Lower respiratory infections,19.77
1084,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Both sexes,Ischaemic heart disease,19.463333333333335
1089,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Male,Total,19.72
1092,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Both sexes,Total,19.84
1093,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Female,Lower respiratory infections,19.896666666666665
1095,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mozambique,2016,Female,Total,19.919999999999998
1097,Ambient air pollution attributable death rate (per 100 000 population),Africa,Lesotho,2016,Male,Lower respiratory infections,19.97
1098,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Both sexes,Lower respiratory infections,20.013333333333332
1100,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Both sexes,Chronic obstructive pulmonary disease,2.08
1101,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Both sexes,Stroke,2.0500000000000003
1108,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Female,Chronic obstructive pulmonary disease,2.0833333333333335
1113,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Male,Chronic obstructive pulmonary disease,2.1333333333333333
1121,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Female,Chronic obstructive pulmonary disease,2.1133333333333333
1122,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Sudan,2016,Female,Chronic obstructive pulmonary disease,2.1133333333333333
1125,Ambient air pollution attributable death rate (per 100 000 population),Africa,Comoros,2016,Male,Chronic obstructive pulmonary disease,2.18
1130,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Male,Stroke,2.14
1132,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Male,"Trachea, bronchus, lung cancers",2.14
1133,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Female,Stroke,2.19
1136,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Male,Chronic obstructive pulmonary disease,2.1633333333333336
1142,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Both sexes,Chronic obstructive pulmonary disease,2.1966666666666668
1148,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Female,Chronic obstructive pulmonary disease,2.233333333333333
1152,Ambient air pollution attributable death rate (per 100 000 population),Africa,Democratic Republic of the Congo,2016,Male,Chronic obstructive pulmonary disease,2.27
1154,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Female,Chronic obstructive pulmonary disease,2.2866666666666666
1160,Ambient air pollution attributable death rate (per 100 000 population),Africa,Egypt,2016,Male,"Trachea, bronchus, lung cancers",2.236666666666667
1166,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Male,Chronic obstructive pulmonary disease,2.31
1174,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Female,Chronic obstructive pulmonary disease,2.35
1176,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Female,Lower respiratory infections,2.4299999999999997
1181,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Africa,2016,Male,"Trachea, bronchus, lung cancers",2.3533333333333335
1188,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Male,Chronic obstructive pulmonary disease,2.36
1189,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Sudan,2016,Both sexes,Chronic obstructive pulmonary disease,2.36
1196,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Male,Chronic obstructive pulmonary disease,2.403333333333333
1198,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Female,Chronic obstructive pulmonary disease,2.433333333333333
1200,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Both sexes,Stroke,2.4033333333333338
1203,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Female,Chronic obstructive pulmonary disease,2.4066666666666667
1205,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Female,Ischaemic heart disease,2.356666666666667
1209,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Both sexes,Chronic obstructive pulmonary disease,2.4233333333333333
1210,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Both sexes,Chronic obstructive pulmonary disease,2.4166666666666665
1212,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Female,Chronic obstructive pulmonary disease,2.48
1213,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Both sexes,Chronic obstructive pulmonary disease,2.4566666666666666
1216,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Both sexes,Chronic obstructive pulmonary disease,2.4499999999999997
1217,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Both sexes,Chronic obstructive pulmonary disease,2.4533333333333336
1218,Ambient air pollution attributable death rate (per 100 000 population),Africa,Rwanda,2016,Male,Chronic obstructive pulmonary disease,2.4333333333333336
1222,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Male,Chronic obstructive pulmonary disease,2.48
1225,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Male,Stroke,2.4499999999999997
1227,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eswatini,2016,Female,Chronic obstructive pulmonary disease,2.5166666666666666
1230,Ambient air pollution attributable death rate (per 100 000 population),Africa,Somalia,2016,Male,Chronic obstructive pulmonary disease,2.4899999999999998
1236,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ghana,2016,Female,Chronic obstructive pulmonary disease,2.4966666666666666
1244,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Male,Chronic obstructive pulmonary disease,2.5533333333333332
1245,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Both sexes,Chronic obstructive pulmonary disease,2.4933333333333336
1251,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Male,Stroke,2.52
1256,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Male,Chronic obstructive pulmonary disease,2.5466666666666664
1258,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Female,Chronic obstructive pulmonary disease,2.5366666666666666
1271,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Both sexes,Chronic obstructive pulmonary disease,2.5766666666666667
1277,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Both sexes,Lower respiratory infections,2.7099999999999995
1281,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Both sexes,Ischaemic heart disease,2.5533333333333332
1283,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Male,"Trachea, bronchus, lung cancers",2.6566666666666667
1285,Ambient air pollution attributable death rate (per 100 000 population),Africa,South Sudan,2016,Male,Chronic obstructive pulmonary disease,2.6133333333333333
1288,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Female,Chronic obstructive pulmonary disease,2.6233333333333335
1290,Ambient air pollution attributable death rate (per 100 000 population),Africa,Seychelles,2016,Female,Chronic obstructive pulmonary disease,2.6999999999999997
1291,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Both sexes,Chronic obstructive pulmonary disease,2.66
1292,Ambient air pollution attributable death rate (per 100 000 population),Africa,Malawi,2016,Female,Stroke,2.686666666666666
1295,Ambient air pollution attributable death rate (per 100 000 population),Africa,Morocco,2016,Female,Chronic obstructive pulmonary disease,2.6633333333333336
1300,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Both sexes,Chronic obstructive pulmonary disease,2.72
1305,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Both sexes,Chronic obstructive pulmonary disease,2.73
1307,Ambient air pollution attributable death rate (per 100 000 population),Africa,Democratic Republic of the Congo,2016,Both sexes,Chronic obstructive pulmonary disease,2.6799999999999997
1313,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Male,Chronic obstructive pulmonary disease,2.7099999999999995
1316,Ambient air pollution attributable death rate (per 100 000 population),Africa,Botswana,2016,Female,Chronic obstructive pulmonary disease,2.766666666666667
1323,Ambient air pollution attributable death rate (per 100 000 population),Africa,Ethiopia,2016,Male,Chronic obstructive pulmonary disease,2.766666666666667
1330,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Male,Chronic obstructive pulmonary disease,2.8266666666666667
1339,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Female,Chronic obstructive pulmonary disease,2.8766666666666665
1340,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Both sexes,Chronic obstructive pulmonary disease,2.8699999999999997
1341,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Female,Chronic obstructive pulmonary disease,2.853333333333333
1346,Ambient air pollution attributable death rate (per 100 000 population),Africa,Kenya,2016,Male,Ischaemic heart disease,2.7600000000000002
1351,Ambient air pollution attributable death rate (per 100 000 population),Africa,Equatorial Guinea,2016,Male,Chronic obstructive pulmonary disease,2.823333333333333
1357,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Female,Chronic obstructive pulmonary disease,2.91
1362,Ambient air pollution attributable death rate (per 100 000 population),Africa,Namibia,2016,Female,Chronic obstructive pulmonary disease,2.9133333333333336
1363,Ambient air pollution attributable death rate (per 100 000 population),Africa,Nigeria,2016,Male,Chronic obstructive pulmonary disease,2.8466666666666662
1366,Ambient air pollution attributable death rate (per 100 000 population),Africa,Congo,2016,Both sexes,Chronic obstructive pulmonary disease,2.873333333333333
1370,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritius,2016,Male,Lower respiratory infections,3.0
1371,Ambient air pollution attributable death rate (per 100 000 population),Africa,Senegal,2016,Both sexes,Chronic obstructive pulmonary disease,2.893333333333333
1372,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Both sexes,Chronic obstructive pulmonary disease,2.883333333333333
1375,Ambient air pollution attributable death rate (per 100 000 population),Africa,Madagascar,2016,Male,Chronic obstructive pulmonary disease,2.9800000000000004
1379,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Both sexes,Stroke,2.91
1386,Ambient air pollution attributable death rate (per 100 000 population),Africa,United Republic of Tanzania,2016,Male,Stroke,2.9233333333333333
1388,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gabon,2016,Both sexes,Chronic obstructive pulmonary disease,2.9499999999999997
1398,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Female,Chronic obstructive pulmonary disease,2.9599999999999995
1416,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Male,Chronic obstructive pulmonary disease,3.046666666666667
1419,Ambient air pollution attributable death rate (per 100 000 population),Africa,Niger,2016,Female,Chronic obstructive pulmonary disease,3.0199999999999996
1427,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mauritania,2016,Female,Lower respiratory infections,20.296666666666667
1433,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Male,Lower respiratory infections,20.506666666666668
1434,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Both sexes,Lower respiratory infections,20.613333333333333
1435,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Female,Lower respiratory infections,20.49
1437,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Both sexes,Lower respiratory infections,20.676666666666666
1443,Ambient air pollution attributable death rate (per 100 000 population),Africa,Mali,2016,Female,Lower respiratory infections,20.843333333333334
1445,Ambient air pollution attributable death rate (per 100 000 population),Africa,Morocco,2016,Female,Ischaemic heart disease,20.833333333333332
1450,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Female,Lower respiratory infections,21.36
1451,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Both sexes,Lower respiratory infections,20.996666666666666
1454,Ambient air pollution attributable death rate (per 100 000 population),Africa,Algeria,2016,Male,Ischaemic heart disease,20.936666666666667
1457,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea,2016,Both sexes,Lower respiratory infections,21.47666666666667
1460,Ambient air pollution attributable death rate (per 100 000 population),Africa,Djibouti,2016,Male,Lower respiratory infections,21.246666666666666
1464,Ambient air pollution attributable death rate (per 100 000 population),Africa,Morocco,2016,Both sexes,Ischaemic heart disease,21.19666666666667
1467,Ambient air pollution attributable death rate (per 100 000 population),Africa,Eritrea,2016,Both sexes,Lower respiratory infections,21.353333333333328
1469,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zimbabwe,2016,Male,Total,21.566666666666666
1471,Ambient air pollution attributable death rate (per 100 000 population),Africa,Uganda,2016,Male,Lower respiratory infections,21.503333333333334
1478,Ambient air pollution attributable death rate (per 100 000 population),Africa,Gambia,2016,Male,Lower respiratory infections,21.753333333333334
1480,Ambient air pollution attributable death rate (per 100 000 population),Africa,Morocco,2016,Male,Ischaemic heart disease,21.623333333333335
1484,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burundi,2016,Female,Lower respiratory infections,21.866666666666664
1489,Ambient air pollution attributable death rate (per 100 000 population),Africa,Sierra Leone,2016,Both sexes,Lower respiratory infections,22.286666666666665
1498,Ambient air pollution attributable death rate (per 100 000 population),Africa,Guinea-Bissau,2016,Male,Lower respiratory infections,22.330000000000002
1504,Ambient air pollution attributable death rate (per 100 000 population),Africa,Togo,2016,Both sexes,Lower respiratory infections,22.41333333333333
1506,Ambient air pollution attributable death rate (per 100 000 population),Africa,Côte d’Ivoire,2016,Female,Lower respiratory infections,22.55333333333333
1508,Ambient air pollution attributable death rate (per 100 000 population),Africa,Zambia,2016,Female,Total,22.42
1509,Ambient air pollution attributable death rate (per 100 000 population),Africa,Burkina Faso,2016,Female,Lower respiratory infections,22.506666666666664
